,region,pop,geno,trt,vwc_adj,biomass_belowground,biomass_rhizome,biomass_aboveground,flwr_mass_lifetime,flwr_count_1.2,flwr_avg_ind_len,flwr_avg_ind_mass,max_height,avg_predawn_mpa_expt,avg_midday_mpa_expt,root_shoot,biomass_total
119,Boulder,HV,17,ND - D,19.1375,-0.42,-0.24,-0.38,-0.2364,-12,-0.94375,-8.72889,-3.175,5.3,4.3,-0.138,-1.2764
120,Boulder,K,1,ND - D,21.36875,0.61,0.04,1.36,0.2621,20,-0.77355,5.78621,2,-0.5,0,-0.366,2.2721
121,Boulder,K,2,ND - D,21.66428571,0.55,0.85,1.17,0.2101,4,0.09697,2.49519,1.2,0.6,3.2,0.099,2.7801
122,Boulder,K,3,ND - D,18.8875,0.99,0.73,0.51,0.0896,11,-0.14127,2.1025,4.5,-1.8,-4.45,0.381,2.3196
123,Boulder,K,4,ND - D,22.42678571,-0.27,0.28,-1.66,-0.148,-12,0.86429,4.63125,3.5,2,1.75,1.184,-1.798
124,Boulder,K,5,ND - D,22.55714286,0.29,0.45,-0.19,0.0981,-4,-0.16969,0.95481,4.8,1.9,0.8,0.443,0.6481
125,Boulder,K,6,ND - D,20.84285714,NA,NA,NA,0.0047,2,-0.06869,-3.32667,-14.685,NA,NA,NA,NA
126,Boulder,K,7,ND - D,18.83,0.51,0.32,-0.18,-0.1772,2,-0.45833,-2.43429,-8.5,NA,NA,0.35,0.4728
127,Boulder,K,8,ND - D,22.18666667,0.12,-0.26,-0.4,0.1346,-7,-0.17252,-4.23778,1.4,2.95,1.7,0.119,-0.4054
128,Boulder,K,9,ND - D,21.86666666,1.15,0.19,1.9,0.2784,19,-0.00286,-3.01478,11.8,NA,NA,-0.152,3.5184
129,Boulder,K,10,ND - D,21.23125,0.81,0.46,0.8,0.1314,15,0.42778,1.265,20.26,NA,NA,0.172,2.2014
130,Boulder,K,11,ND - D,20.3,0.77,1.3,2.4,-0.0834,7,-0.93333,16.51333,-6.2,NA,NA,0.204,4.3866
131,Boulder,K,12,ND - D,23.625,-0.04,-0.2,-0.79,-0.072,-5,-0.28968,-1.80057,1.6,2.05,2,0.192,-1.102
132,Boulder,K,13,ND - D,20.475,NA,NA,NA,0.0475,2,0,3.09087,-0.95,NA,NA,NA,NA
133,Boulder,K,14,ND - D,21.68833333,NA,NA,NA,0.0152,0,-0.2,6.6,13.5,NA,NA,NA,NA
