pot,region,pop,geno,lab,vwc_adj,biomass_belowground,biomass_rhizome,biomass_aboveground,flwr_mass_final,flwr_mass_1.2,flwr_mass_4,flwr_mass_lifetime,did_flwr,flwr_count_1.2,flwr_len_1.2,flwr_avg_ind_len,flwr_avg_ind_mass,max_height,ht.91-130,ht.80-90,ht.70-79,ht.49-69,ht.38-48,ht.30-37,ht.20-29,ht.10-19,ht.1-9,avg_predawn_mpa_expt,avg_midday_mpa_expt,avg_predawn_mpa_drydown,avg_midday_mpa_drydown,roottoshoot,biomass_total
219,Boulder,ST,15,ST15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.36,NA,NA,NA,66.9,59.85,43.2,22.9,8.1667,-0.4334,NA,NA,NA,NA,NA,NA
220,Boulder,ST,16,ST16,19.68666667,NA,NA,NA,NA,0.075,0.0281,0.1031,0,2,12.1,0.51587,-3.6775,2.9,0.9,1.25,2.54,5.55,7,4.55,1.0667,1.6333,2.3333,2.8,2.3,NA,NA,NA,NA
221,Boulder,ST,17,ST17,16.45,-0.29,-0.23,-1.6,0,-0.0382,0.0353,-0.0029,0,-2,-8.7,NA,NA,-37.81,-37.5,-44.9,-50.165,-38.8,-35.9,-30.05,-24.9,-12.5333,-3.3833,1.25,1.45,NA,NA,1.11349472,3.364
239,Boulder,WR,1,WR01,19.13125,NA,NA,NA,NA,-0.0016,0.0463,0.0836,0,-2,-4,0.115,1.535,5.2,-0.42,-4.8,-4.6,-9.525,-1.3667,-0.25,-3.5,-4.1666,-0.3,NA,NA,0.15,-0.3,NA,NA
240,Boulder,WR,2,WR02,15.63928571,-0.44,-0.52,-0.66,0,0,-0.03,-0.03,-1,0,0,NA,NA,-32.9,-36.28,-28,-25.8,-19.05,-13.4,-13.6,-14.3667,-11.9333,-4.45,NA,NA,NA,NA,-0.323905724,2.81
241,Boulder,WR,3,WR03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4,NA,NA,NA,NA,-4,-1.7,-1.6667,-1.4,-1.1,NA,NA,NA,NA,NA,NA
242,Boulder,WR,4,WR04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-45.4,NA,NA,NA,NA,-44.5,-36.4,-22.4,-6.8,-1.4,NA,NA,NA,NA,NA,NA
243,Boulder,WR,5,WR05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.7,NA,NA,NA,NA,4.4333,1.85,1.6,1.3,0.5,NA,NA,NA,NA,NA,NA
244,Boulder,WR,6,WR06,19.89861111,0.51,-0.48,1.43,-0.0157,-0.0148,-0.0338,-0.0643,0,3,4.5,-0.30455,-0.51071,13.335,10.04,11.15,15.7,13.335,2.2333,-2.8,-3.5666,-2.9333,-2.25,6.05,1.35,NA,NA,-0.203624434,6.2834
245,Boulder,WR,7,WR07,17.45571429,1.58,-0.44,0.33,0,-0.1713,-0.0043,-0.1756,0,-13,-40.9,0.25568,1.38525,8.525,8.2,8.6,7.7,8.255,17.0333,8.55,-7,-12.6666,-5.1,0,1.35,NA,NA,0.229878307,7.7764
246,Boulder,WR,8,WR08,18.11111111,NA,NA,NA,NA,NA,NA,NA,-1,-4,-15.5,NA,NA,-59.075,-55.68,-58.85,-58.2,-60.96,-50.5334,-37.35,-24.7333,-12.9,-1.7,NA,NA,NA,NA,NA,NA
247,Boulder,WR,9,WR09,18.51833333,NA,NA,NA,NA,-0.162,-0.021,-0.183,0,-15,-76.8,-0.46111,0.17632,20.9,22.88,23,NA,23.495,23.5,13.3,1.0333,-0.5667,-0.45,NA,NA,0.85,-0.15,NA,NA
248,Boulder,WR,10,WR10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-41.5,NA,NA,NA,NA,-1,-1,-1,-0.7333,-0.45,NA,NA,NA,NA,NA,NA
249,Boulder,WR,11,WR11,16.20625,1.17,0.65,1.77,0.0115,0.0459,-0.0066,0.0508,0,7,9.5,-0.13419,2.88466,9.1,7.68,9.4,6.1,9.525,10.5,6,-11.1666,-8.7667,-0.35,0,0.5,NA,NA,0.215430367,4.191
250,Boulder,WR,12,WR12,18.31875,0.12,0.25,1.24,0,0.0255,0.0604,0.0859,0,4,6.8,-0.39095,0.85017,3.3,3.36,3.1,2.2,3.81,12.6666,13,3.4,-1.6667,-1.6,0.05,0.25,NA,NA,-0.085558314,5.0103
251,Boulder,WR,13,WR13,12.975,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,51.15,37.42,17.6,13.5,10.16,-0.7333,-1,-1.0667,-1.2,-0.35,NA,NA,NA,NA,NA,NA
252,Boulder,WR,14,WR14,18.26,0.35,-0.28,0.62,0.0278,-0.1181,0.0194,-0.0709,0,-13,-34.2,0.2227,-2.02857,7.1,8.3,7.35,5.6,6.985,1.1333,1.2,-1.3334,-2.7333,-1.05,1.55,1.55,NA,NA,-0.048576314,6.5209
253,Boulder,WR,15,WR15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.1,NA,NA,NA,NA,-0.1333,-0.4,-0.3333,0,0.15,NA,NA,NA,NA,NA,NA
254,Boulder,WR,16,WR16,16.775,5.74,1.83,5.4,-0.0133,0.7553,-0.0133,0.7287,0,39,150,0.02075,-8.42316,13.9,14.74,13.5,14.3,13.335,10.9334,14.75,4.4667,3.6334,-0.15,-0.6,-0.55,NA,NA,0.355097936,7.4133
255,Boulder,WR,17,WR17,16.73666667,1.52,0.49,2.15,0.0232,0.0687,-0.1649,-0.073,0,8,21.9,-0.52895,-3.18809,17,12.96,13.95,10.1,8.255,14.0667,9.85,1.7,4.5,2.65,1.7,-0.4,NA,NA,0.142900418,5.528
273,Boulder,RC,1,RC01,16.53571429,NA,NA,NA,NA,0.5599,0,0.5599,0,35,116,0.08285,7.72351,24.5,20,20.25,24.13,23.95,18.15,8,-2.9,-1.9333,0,4.29,4.7,NA,NA,NA,NA
274,Boulder,RC,2,RC02,20.07361111,0.55,0.57,1.77,0,0.0901,0.0634,0.1535,0,2,7.5,0.13031,9.58167,10.2,11.5,-0.55,3.175,4.6,2.6,2.35,-1.7667,-1.4333,1.8,1.1,3.85,NA,NA,-0.186373184,4.0275
275,Boulder,RC,3,RC03,19.3925,1.91,1.6,3.17,0,0.2473,0.0083,0.2556,0,10,32.2,0.08,7.90333,6.1,7.7,5.6,5.08,5.65,3.2,3.5,0.3334,-1.8,1.2,-0.8,0,NA,NA,0.064437927,4.4112
276,Boulder,RC,4,RC04,18.675,NA,NA,NA,NA,0.1183,0.016,0.1343,0,5,17.7,-0.07406,2.50774,-6.815,NA,NA,-8.89,-9,0.8,9.45,5.0333,2.2334,2.8,NA,NA,NA,NA,NA,NA
277,Boulder,RC,5,RC05,19.2625,2.51,1.24,3.2,0,0.1774,-0.0601,0.1173,0,14,39.1,-0.05312,-4.63694,7.9,4.8,6.55,7.62,7.55,6.7,7.05,4.8333,3.0333,3.7,1.1,0,NA,NA,0.113295199,6.1161
278,Boulder,RC,6,RC06,19.47321429,NA,NA,NA,NA,0.3042,0,0.3042,0,12,59.5,0.2225,-7.04127,4.6,3.2,4.2,5.08,7.45,9.15,5.45,-2.3,-2.5,-1.5,NA,NA,NA,NA,NA,NA
279,Boulder,RC,7,RC07,20.05625,0.49,0.47,0.52,0,-0.2081,0.0306,-0.1775,0,-9,-33.6,-0.13575,-7.2586,8.2,6.1,11.25,8.255,5,0.05,-2.25,-4.7333,-1.2667,1.1,3.6,1.7,NA,NA,0.198678235,5.5092
280,Boulder,RC,8,RC08,17.6547619,1.6,0.74,2.12,0,0.0871,-0.0597,0.0274,0,8,21.3,-0.27857,2.64375,4.3,4.6,7.05,1.905,3.85,3.85,2.3,2.3334,1.4334,1.4,-1.9,-1.45,NA,NA,0.223581418,3.5963
281,Boulder,RC,9,RC09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.9,NA,NA,NA,5.7,5.7,5.7,4.7334,3.6666,3.5,NA,NA,NA,NA,NA,NA
282,Boulder,RC,10,RC10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.6,NA,NA,NA,1.3,1.1,-0.35,-1.8667,-2.6333,-2.2,NA,NA,NA,NA,NA,NA
283,Boulder,RC,11,RC11,20.02375,0.08,-0.25,0.61,0,-0.232,0.0515,-0.1805,0,-9,-26.3,0.18,-12.77857,7.7,8.6,8,8.255,7.7,6.05,5.2,10.6333,1.9333,0.6,4.9,3.3,NA,NA,-0.147415773,5.6002
284,Boulder,RC,12,RC12,20.54821429,-0.72,-0.46,-1.28,0,0.1435,0.08,0.2235,0,4,23.6,0.68,3.7375,2.345,NA,NA,3.175,0.7,-0.8,-0.85,3.3,1.3,0.5,NA,NA,0.05,0.9,-0.104641146,6.3289
285,Boulder,RC,13,RC13,20.56964286,0.59,-1.85,2.57,0,0.0616,-0.0063,0.0553,0,8,18,-0.66875,-2.35778,4.3,4.3,5.5,5.715,6.25,7.5,4.85,-7.3333,-6.9333,-8.8,NA,NA,0.22,0.1,-1.882883821,5.8067
286,Boulder,RC,14,RC14,18.85833333,0.4,-0.02,0.86,0,0.1033,-0.0125,0.0908,0,9,25.4,-0.63334,-3.23929,2.42,-2.5,0,5.08,6.75,7.85,12.65,14.5,9.0666,4.1,0.5,0.4,NA,NA,-0.092480759,5.9959
287,Boulder,RC,15,RC15,18.87666667,NA,NA,NA,NA,-0.1082,0.071,0.009,0,-6,-18.1,1.15,-3.83333,14.6,4.5,1.6,4.445,25.8,28.7,27.05,19.0666,11.0334,2.6,NA,NA,NA,NA,NA,NA
288,Boulder,RC,16,RC16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7,NA,NA,NA,3.7,3.7,3.7,2.7334,1.7667,-1.5,NA,NA,NA,NA,NA,NA
289,Boulder,RC,17,RC17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.8,NA,NA,NA,29.3,24.8,21.05,14.5,6.1333,3.6,NA,NA,NA,NA,NA,NA
307,Boulder,RM,1,RM01,20.34375,NA,NA,NA,NA,-0.0818,0.1822,0.1747,0,-6,-22.9,-0.55893,2.2375,3.575,-2.92,-12.15,-14.6,-15.24,-16.1333,-2.35,1.7667,-1,-2.15,NA,NA,0.3,1.55,NA,NA
308,Boulder,RM,2,RM02,19.95,NA,NA,NA,NA,NA,NA,NA,1,14,56.6,NA,NA,73.2,NA,NA,NA,NA,62.1667,42.65,28.1667,12.3667,3.15,NA,NA,NA,NA,NA,NA
309,Boulder,RM,3,RM03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,NA,NA,NA,NA,2.9333,1.2,1.2333,1.5,1.6,NA,NA,NA,NA,NA,NA
