"","pop","LD1","LD2","LD3","LD4","LD5","LD6","LD7","LD8","LD9","abbv","col","orig","annual_AI_CGIAR","legend.order"
"31","Beech Trail",0.00540895918560449,1.49215796812606,-0.264974884787281,-0.605080764392645,-0.882823415159305,-0.212167383183259,-0.601831012610198,-0.354337960106741,-0.661067645722658,"BT","#6BAD9E","#4992C2",0.3596,"I"
"32","Beech Trail",-0.531902725215296,1.7498490321795,-0.895357529806213,-0.0732326218598918,0.22564244362157,-0.641674364830975,0.0924771852754479,-0.113379835765029,-0.078643289824661,"BT","#6BAD9E","#4992C2",0.3596,"I"
"33","Beech Trail",-1.50631446784408,2.33662391082378,-1.69743230301546,0.180735163509123,-1.52179671979456,-0.792762391984132,-0.118625675134827,-0.184185883671951,1.23668668352972,"BT","#6BAD9E","#4992C2",0.3596,"I"
"34","Beech Trail",-0.89852815334892,1.81059351242235,-0.245520817188756,1.16278469206341,-0.830943209696063,-1.66416427701027,0.908686641547733,0.575328566017228,-1.44410884590344,"BT","#6BAD9E","#4992C2",0.3596,"I"
"35","Davidson Mesa",-1.77277870003724,-1.23369707412567,1.05305786018726,-2.69993795851647,-1.2917608742859,-0.0468378919042933,0.506677846506301,-0.303608090744997,0.397795380258158,"DM","#217b7e","#F88A89",0.376,"J"
"36","Davidson Mesa",-3.00527725610341,1.52854734497882,0.302818601073799,-0.582076916886665,0.561894887180593,0.411390226122822,0.277610625226616,0.467132346788108,-0.416819035143707,"DM","#217b7e","#F88A89",0.376,"J"
"37","Davidson Mesa",-2.05022008327437,0.916310762503619,1.75794312075074,-4.20031124155636,1.01284013218903,1.1470904916926,-0.678994276692056,-0.681849157344152,2.29917403336173,"DM","#217b7e","#F88A89",0.376,"J"
"38","Davidson Mesa",-1.17641541750002,-1.34832788996658,1.47378191713534,-2.50477589539629,1.95842506546926,1.18263583128536,-0.256151986092848,1.51773093523423,0.977547832843268,"DM","#217b7e","#F88A89",0.376,"J"
"39","Davidson Mesa",-2.2730230786466,0.924741635225772,2.77142556384258,-4.02745473691794,0.587837493445032,-0.360345646708254,1.33798618280336,0.672228545242295,-0.435999633246656,"DM","#217b7e","#F88A89",0.376,"J"
"40","Davidson Mesa",-1.61880859000679,0.730932045120387,1.79749357284824,-3.14419528332511,0.0857730627298304,-0.0605086557365744,-0.182619694089668,1.72897327011857,0.821539039819987,"DM","#217b7e","#F88A89",0.376,"J"
"41","Davidson Mesa",-2.41090305626258,0.310785705402201,0.472321918676231,-2.85377557259258,0.112981107221168,1.84103122607412,-0.189338931898986,-0.451492015679821,-2.60509840384049,"DM","#217b7e","#F88A89",0.376,"J"
"42","Davidson Mesa",-1.17304038534693,0.961058893811726,1.64545380356521,-0.356985766688453,-0.029100417659001,-0.258830984509482,0.245414653813451,0.0926363703082107,0.172652177091727,"DM","#217b7e","#F88A89",0.376,"J"
"43","Davidson Mesa",-2.56856690272724,1.68167850578657,1.44420780004865,-3.81001059885895,0.375282081215894,-1.38318448059818,0.455850779625653,-0.729954421021005,1.07923965304261,"DM","#217b7e","#F88A89",0.376,"J"
"44","Davidson Mesa",-2.45937858203501,0.380719997769555,0.468018577817243,-1.74875783278638,-0.499778549070283,1.30319032586198,0.100377316487056,0.24123642888788,0.426462406462576,"DM","#217b7e","#F88A89",0.376,"J"
"45","Davidson Mesa",-2.25812012573062,0.200295292595085,1.6766058636059,-2.64996564760966,0.33362544517936,0.787387838901355,-1.179550046657,0.724412432242286,0.0710464557559309,"DM","#217b7e","#F88A89",0.376,"J"
"46","Davidson Mesa",-3.31215809767975,1.10228223033468,3.17430979198443,-4.78004255891867,1.06665583035215,0.0660306339031614,0.076579402010817,1.51392793894687,-2.11379373240171,"DM","#217b7e","#F88A89",0.376,"J"
"47","Davidson Mesa",-2.98344085885732,-0.930514033789621,0.0848029741580269,-2.56255912033085,1.32357238235645,-0.680173067563255,-0.165383472033701,0.597712008552245,1.02334296124217,"DM","#217b7e","#F88A89",0.376,"J"
"48","Davidson Mesa",-2.13495592468017,0.683188751898717,1.25555035223457,-3.22645311126368,-0.155997803215833,0.872150086825142,0.108025505624765,0.967353291738327,1.31370417704714,"DM","#217b7e","#F88A89",0.376,"J"
"49","Davidson Mesa",-2.803940904165,1.01628428503818,2.81348207358044,-2.47027131183574,0.648650398322971,1.34229388696413,0.472898373612955,0.792246446657656,-1.63552282762215,"DM","#217b7e","#F88A89",0.376,"J"
"50","Davidson Mesa",-1.73593712261627,0.221223822330337,1.75632765736718,-5.42555385182159,1.49342347299771,2.35264405612461,1.12900894112148,1.43884195915354,-0.394400703352621,"DM","#217b7e","#F88A89",0.376,"J"
"51","Davidson Mesa",-2.39448338984206,1.86704621014938,3.44595862460777,-4.53291135415779,1.06590067296458,2.93324112439731,1.55703939810122,-0.120942113123392,-0.513370668307676,"DM","#217b7e","#F88A89",0.376,"J"
"52","Heil Valley",-1.94023779166752,-3.60401065875685,2.69892917044238,1.37064387209398,-1.02889065842144,0.493880946705379,-0.229056339852113,-0.820280572170509,-0.0876405016950246,"HV","#426081","#E73233",0.3804,"L"
"53","Heil Valley",-0.0208286328920437,-0.152510361996991,2.58655391192576,1.19504415943645,-0.00837180908974833,-1.0217596159213,-0.806371843937001,0.607248514808241,-0.248589295473396,"HV","#426081","#E73233",0.3804,"L"
"54","Heil Valley",-0.104773824484817,-3.36258330680086,5.14525122981736,2.24799929701489,-1.49248052623278,-0.214809952646991,-2.90025718395322,-0.200259170596375,-1.31841624753331,"HV","#426081","#E73233",0.3804,"L"
"55","Heil Valley",1.40188834443159,-1.58918220378669,3.82251600434609,1.3775935693228,-0.556757003021514,-0.0940564397666711,-1.03922344223874,0.0498044143883525,-1.19356369517527,"HV","#426081","#E73233",0.3804,"L"
"56","Heil Valley",0.399273145769906,-2.61241980977318,5.43269257824129,3.14376832026664,-3.0635969423872,-0.112532892783155,-2.01260869591136,0.373790143873599,-1.75446837326838,"HV","#426081","#E73233",0.3804,"L"
"57","Heil Valley",1.03628239979172,-0.165791004673086,3.00714327000393,1.03973611768184,-1.11980809965432,-0.176286320320725,0.0744596147284484,-0.223570146866706,-0.80728078727146,"HV","#426081","#E73233",0.3804,"L"
"58","Heil Valley",0.00985027020739809,-0.656637167184473,4.28751984411187,2.48087543443793,-2.71710104545087,1.72603554247832,-1.76355915760033,-2.01975485682062,0.191513601619831,"HV","#426081","#E73233",0.3804,"L"
"59","Heil Valley",-1.53328121060079,-2.71874208182201,2.6599219829254,0.764033234173585,-0.0242206499159179,0.34729026422682,-0.927772887053734,0.138164550156008,0.00247664876319292,"HV","#426081","#E73233",0.3804,"L"
"60","Heil Valley",1.7493145568732,-2.00882254199738,2.68090169457729,1.19800312578922,-0.144674660462606,1.14827120697582,-0.0441798783708402,-0.0602580242673703,-0.252856982683514,"HV","#426081","#E73233",0.3804,"L"
"61","Heil Valley",-0.915848900231187,-1.55036707883192,4.60197123328761,2.23056016885714,-2.29492153655474,0.763835636759276,-1.46946173277243,0.0442883100770851,0.76210544979502,"HV","#426081","#E73233",0.3804,"L"
"62","Heil Valley",-1.27390308805148,1.36089343196582,3.06662178641888,-0.0130853255084825,-2.26809005708259,-0.299325401587839,-2.06167832089003,0.162843876869144,-1.40427349994572,"HV","#426081","#E73233",0.3804,"L"
"63","Heil Valley",-0.292874642784637,-1.89563857979618,4.78992619686293,3.44908327083709,-0.676221800338914,-1.02798989970728,2.50016533031695,1.88984174791185,0.997975341544565,"HV","#426081","#E73233",0.3804,"L"
"64","Heil Valley",-0.680393212453892,-1.01571360495459,2.34947440935517,0.103892068423575,0.785349489252648,-0.898866270231871,0.224541287765457,0.964446662828192,0.205386253278951,"HV","#426081","#E73233",0.3804,"L"
"65","Heil Valley",-1.00297075803469,-1.44621906647197,7.6160978466872,1.61911403215355,-1.79046036939259,-0.703703373484202,1.80167864090346,0.668237988136403,0.265838368488476,"HV","#426081","#E73233",0.3804,"L"
"66","Heil Valley",0.0187569232188318,0.146588545907507,-0.416309308221534,0.682416115351667,-0.609545573239911,0.378952317269797,-0.650998177106587,-0.538707588551813,1.30620895503563,"HV","#426081","#E73233",0.3804,"L"
"67","Kelsall",-1.1999040808199,-0.790772301548123,0.931047852089646,1.39525073322604,5.20545085355234,-2.55749344965057,1.68190410728059,-2.54468765898939,-1.53893550168327,"K","#72ADD1","#F06C45",0.3806,"M"
"68","Kelsall",-1.75445906646156,-0.619219511910289,-0.208377221219592,1.28495858884473,4.56377078211079,-1.12582122656354,0.279331965512105,-2.95731182861448,-1.56708717719193,"K","#72ADD1","#F06C45",0.3806,"M"
