"","pop","LD1","LD2","LD3","LD4","LD5","LD6","abbv","col","orig","annual_AI_CGIAR","legend.order"
"44","Cibola",0.654332317738745,-3.09581147911469,0.212755024247846,-0.0975223412348453,-1.07490948866568,-0.183573142625904,"CIB","#F88A89","#52AF43",0.2417,"B"
"45","Cibola",0.0579746865385441,-1.6248343035963,0.368666623564503,-0.380900503696838,1.21571296272393,0.0506007540544842,"CIB","#F88A89","#52AF43",0.2417,"B"
"46","Cibola",1.52440066081139,-9.15128866190322,-1.18067423471481,0.465978420445517,-0.248605182433745,-0.192261167525995,"CIB","#F88A89","#52AF43",0.2417,"B"
"47","Cibola",1.48352898357872,-9.0077024025153,-1.25872336512085,0.421592526782946,-0.159759032379996,0.16196442059237,"CIB","#F88A89","#52AF43",0.2417,"B"
"48","Cibola",1.56918546715975,-9.14606088615134,-1.49938003458312,0.548034215810029,-0.109967132115684,0.417603047226431,"CIB","#F88A89","#52AF43",0.2417,"B"
"49","Cibola",2.08043013692618,-7.54828998403029,-0.992168763702493,0.264042080387231,-0.124323745874158,0.608212216551763,"CIB","#F88A89","#52AF43",0.2417,"B"
"50","Comanche",-2.16987038092181,1.4995337029512,-1.87902762746218,0.716809349419638,0.24480121622178,0.334525799404342,"CO","#E19B78","#8A9D5B",0.2339,"C"
"51","Comanche",-3.12212719919638,2.05082429810727,-2.93774411693578,1.02376813793078,1.4450605021952,0.214998245435934,"CO","#E19B78","#8A9D5B",0.2339,"C"
"52","Comanche",-2.19463536430783,3.08683761919668,-3.39746089159251,2.72595743408663,1.79996426068588,0.364827334897893,"CO","#E19B78","#8A9D5B",0.2339,"C"
"53","Comanche",-0.997691117610434,2.77048166490801,-4.58600576986485,2.90479578467819,3.02044713457367,-1.12989695721357,"CO","#E19B78","#8A9D5B",0.2339,"C"
"54","Comanche",-3.09666421627115,2.73793790542058,-5.01913238066477,2.07306127525324,3.35971007556013,-1.51702211940421,"CO","#E19B78","#8A9D5B",0.2339,"C"
"55","Comanche",-1.97013866539064,2.09963319110914,-3.49310197909989,1.34078590716081,1.9451908877156,-1.27717143645403,"CO","#E19B78","#8A9D5B",0.2339,"C"
"56","Comanche",-2.07479562968829,2.0097613873018,-3.25729158347551,0.719567881101311,3.22991115015909,0.549879393160932,"CO","#E19B78","#8A9D5B",0.2339,"C"
